n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34039*001;BOUZIGUES - Place De La Golette;Place De La Golette 34140 BOUZIGUES;34039;3.6585277;43.446825;2;FR*S34*E34039*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34247*001;SAINT CLEMENT DE RIVIERE - Parking Du Cc. Le Boulidou;Parking Du Cc. Le Boulidou 34980 SAINT CLEMENT DE RIVIERE;34247;3.850891667;43.6838167;2;FR*S34*E34247*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34126*001;LAMALOU - Parking Centre Ulysse;Parking Centre Ulysse 34720 LAMALOU;34126;3.08381944;43.5975611;2;FR*S34*E34126*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34199*001;PEZENAS - Parking Herault Energies;Parking Herault Energies 34120 PEZENAS;34199;3.409883333;43.4601861;4;FR*S34*E34199*001*1;43;T2;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34324*001;VALRAS PLAGE - Parking Office De Tourisme;Parking Office De Tourisme 34350 VALRAS PLAGE;34324;3.292691667;43.2474833;2;FR*S34*E34324*001*1;22;T2 - EF;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34001*001;ABEILHAN - Parking Boulevard Emile Zola;Parking Boulevard Emile Zola 34290 ABEILHAN;34001;3.296119444;43.44885;2;FR*S34*E34001*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34199*002;PEZENAS - Avenue François Hue;Avenue François Hue 34120 PEZENAS;34199;3.424522222;43.4617167;2;FR*S34*E34199*002*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34031*001;BESSAN - Chemin De La Croix De Redon;Chemin De La Croix De Redon 34550 BESSAN;34031;3.425018;43.357625;2;FR*S34*E34031*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34329*002;VENDRES - Rue De Vienne;Rue De Vienne 34350 VENDRES RUE DE VIENNE;34329;3.217977778;43.2950917;4;FR*S34*E34329*002*1;43;T2;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34203*001;PINET - Avenue De Pomérols;Avenue De Pomérols 34850 PINET;34203;3.510427778;43.4023556;2;FR*S34*E34203*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
